,title,artist,top_genre,year,added,bpm,nrgy,dB,live,val,dur,acous,spch,pop
0,If I Had You - Remastered,Sonny Stitt,bebop,2021,2024‑02‑02,63,27,-8,17,40,379,84,4,16
1,Time After Time,Ben Webster,bebop,1998,2024‑02‑02,105,4,-19,11,35,272,98,5,19
2,Love Is Here To Stay,Blossom Dearie,vocal jazz,2003,2024‑02‑02,130,22,-13,11,38,191,96,4,30
3,Black Coffee,Kai Winding,jazz brass,1961,2024‑02‑02,73,14,-17,12,31,247,97,6,35
4,Slowly,Shelly Manne,cool jazz,1962,2024‑02‑02,78,20,-18,11,34,333,85,4,35
5,Stormy Weather,Lee Wiley,torch song,2005,2024‑02‑02,112,13,-15,16,37,171,99,4,35
6,Do Nothing Till You Hear From Me,Clark Terry,jazz trumpet,1964,2024‑02‑02,120,13,-13,11,46,216,95,5,35
7,Seranade In Blue,Teddy Wilson,jazz piano,2000,2024‑02‑02,99,19,-19,10,25,181,96,4,35
8,I Let A Song Go Out Of My Heart,Lena Horne,harlem renaissance,1994,2024‑02‑02,102,18,-14,8,31,165,51,5,35
9,Touchy,Sonny Stitt,bebop,1963,2024‑02‑02,105,33,-17,11,70,311,67,16,35
10,Ruint,Johnny Hodges & His Orchestra,big band,1999,2024‑02‑02,107,11,-16,34,56,152,79,4,36
11,Just Knock On My Door,Art Blakey Quartet,jazz quartet,1964,2024‑02‑02,126,49,-10,9,55,416,53,4,36
12,Thursday's Theme,Benny Golson,hard bop,1958,2024‑02‑02,81,7,-22,9,27,458,96,4,36
13,Skylark,Toots Thielemans,belgian jazz,2017,2024‑02‑02,133,38,-9,8,67,122,65,22,36
14,A Room With A View,Herb Geller,jazz saxophone,1955,2024‑02‑02,130,15,-13,13,45,249,90,4,36
15,Love Walked In,Erroll Garner,bebop,1998,2024‑02‑02,60,22,-16,13,38,179,93,4,37
16,Stardust - Live At Finney Chapel / 1953,The Dave Brubeck Quartet,bebop,1987,2024‑02‑02,98,19,-17,74,39,390,95,4,37
17,The Night We Called It a Day,Chris Connor,torch song,1994,2024‑02‑02,56,8,-20,17,14,202,96,4,37
18,If Love Is Good To Me,Jackie Paris,,1962,2024‑02‑02,90,12,-19,37,24,193,89,3,37
19,The Lady Is A Tramp,Susannah McCorkle,contemporary vocal jazz,1993,2024‑02‑02,137,27,-15,18,57,293,71,10,37
20,Am I Blue,Dinah Washington,jazz blues,2004,2024‑02‑02,65,25,-9,14,26,193,89,5,37
21,Lands End,Clifford Brown,bebop,1955,2024‑02‑02,144,35,-9,11,68,298,74,4,37
22,Waltz For A Lovely Wife,Stan Getz,bebop,1994,2024‑02‑02,91,19,-15,8,37,409,93,4,37
23,Too Close For Comfort,Art Pepper,bebop,1957,2024‑02‑02,136,45,-10,17,54,368,68,7,37
24,Silver's Serenade - Remastered 1997,Horace Silver,bebop,2020,2024‑02‑02,142,30,-12,22,24,561,75,4,37
25,Long Ago (And Far Away),Jo Stafford,torch song,2007,2024‑02‑02,107,33,-9,40,33,176,80,3,37
