Name,Review,Number Of Reviews,Genre,Tags,Dev_Info,Developer,Publisher,Release_Date,link,Price
Counter-Strike 2,Mostly Positive,"(58,000)","['Action, Free to Play']","['Cross-Platform Multiplayer', 'Steam Trading Cards', 'Steam Workshop', 'In-App Purchases', 'Valve Anti-Cheat enabled', 'Stats', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV']","['Action, Free to Play']",Valve,Valve,"21 Aug, 2012",https://store.steampowered.com/app/730/CounterStrike_2/?snr=1_7_7_7000_150_1,Free
NARAKA: BLADEPOINT,Mostly Positive,"(6,993)","['Action, Adventure, Massively Multiplayer']","['Online PvP', 'In-App Purchases']","['Action, Adventure, Massively Multiplayer']",24 Entertainment,NetEase Games Global,"12 Aug, 2021",https://store.steampowered.com/app/1203220/NARAKA_BLADEPOINT/?snr=1_7_7_7000_150_1,Free
Lethal Company,Overwhelmingly Positive,"(57,723)","['Action, Adventure, Indie, Early Access']","['Single-player', 'Online Co-op']","['Action, Adventure, Indie, Early Access']",Zeekerss,Zeekerss,"24 Oct, 2023",https://store.steampowered.com/app/1966720/Lethal_Company/?snr=1_7_7_7000_150_1,$5.79
Grand Theft Auto V,Very Positive,"(21,480)","['Action, Adventure']","['Single-player', 'Online PvP', 'Online Co-op', 'Steam Achievements', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV']","['Action, Adventure']",Rockstar North,Rockstar Games,"14 Apr, 2015",https://store.steampowered.com/app/271590/Grand_Theft_Auto_V/?snr=1_7_7_7000_150_1,$19.80
Dota 2,Mostly Positive,"(21,267)","['Action, Strategy, Free to Play']","['Steam Trading Cards', 'Steam Workshop', 'SteamVR Collectibles', 'In-App Purchases', 'Valve Anti-Cheat enabled']","['Action, Strategy, Free to Play']",Valve,Valve,"9 Jul, 2013",https://store.steampowered.com/app/570/Dota_2/?snr=1_7_7_7000_150_1,Free
Love Is All Around,Very Positive,"(1,065)","['Adventure, Indie, RPG, Simulation, Strategy']","['Single-player', 'Steam Achievements', 'Steam Cloud']","['Adventure, Indie, RPG, Simulation, Strategy']",intiny,intiny,"18 Oct, 2023",https://store.steampowered.com/app/2322560/Love_Is_All_Around/?snr=1_7_7_7000_150_1,$4.93
eFootball™ 2024,Mixed,"(1,915)","['Simulation, Sports, Free to Play']","['Single-player', 'Online PvP', 'Shared/Split Screen PvP', 'Online Co-op', 'Shared/Split Screen Co-op', 'In-App Purchases']","['Simulation, Sports, Free to Play']",KONAMI,KONAMI,"30 Sep, 2021",https://store.steampowered.com/app/1665460/eFootball_2024/?snr=1_7_7_7000_150_1,Free
Last Train Home,Very Positive,(335),['Strategy'],"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']",['Strategy'],Ashborne Games,THQ Nordic,"28 Nov, 2023",https://store.steampowered.com/app/1469610/Last_Train_Home/?snr=1_7_7_7000_150_1,$12.53
Fallout 76,Mostly Positive,(724),['RPG'],"['MMO', 'Online PvP', 'Online Co-op', 'Steam Achievements', 'In-App Purchases', 'Remote Play on Tablet']",['RPG'],Bethesda Game Studios,Bethesda Softworks,"14 Apr, 2020",https://store.steampowered.com/app/1151340/Fallout_76/?snr=1_7_7_7000_150_1,$5.99
Ready or Not,Mostly Positive,"(6,648)","['Action, Adventure, Indie']","['Single-player', 'Online Co-op', 'Steam Cloud']","['Action, Adventure, Indie']",VOID Interactive,VOID Interactive,"13 Dec, 2023",https://store.steampowered.com/app/1144200/Ready_or_Not/?snr=1_7_7_7000_150_1,$28.99
