Name,Review,Genre,Tags,Developer,Publisher,Price,release_date,Total Number Of Reviews
Palworld,Very Positive,"['Action, Adventure, Indie, RPG, Early Access']","['Single-player', 'Online Co-op', 'Steam Achievements', 'Steam Cloud']",Pocketpair,Pocketpair,14.99,2024-01-18,187133.0
Counter-Strike 2,Very Positive,"['Action, Free to Play']","['Cross-Platform Multiplayer', 'Steam Trading Cards', 'Steam Workshop', 'In-App Purchases', 'Valve Anti-Cheat enabled', 'Stats', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV']",Valve,Valve,0.0,2012-08-21,7871062.0
Ready or Not,Very Positive,"['Action, Adventure, Indie']","['Single-player', 'Online Co-op', 'Steam Cloud']",VOID Interactive,VOID Interactive,21.74,2023-12-13,124768.0
NARAKA: BLADEPOINT,Mostly Positive,"['Action, Adventure, Massively Multiplayer']","['Online PvP', 'In-App Purchases']",24 Entertainment,NetEase Games Global,0.0,2021-08-12,199601.0
Lethal Company,Overwhelmingly Positive,"['Action, Adventure, Indie, Early Access']","['Single-player', 'Online Co-op']",Zeekerss,Zeekerss,5.79,2023-10-24,261544.0
Grand Theft Auto V,Very Positive,"['Action, Adventure']","['Single-player', 'Online PvP', 'Online Co-op', 'Steam Achievements', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV']",Rockstar North,Rockstar Games,19.8,2015-04-14,1581398.0
Dota 2,Very Positive,"['Action, Strategy, Free to Play']","['Steam Trading Cards', 'Steam Workshop', 'SteamVR Collectibles', 'In-App Purchases', 'Valve Anti-Cheat enabled']",Valve,Valve,0.0,2013-07-09,2166283.0
Love Is All Around,Very Positive,"['Adventure, Indie, RPG, Simulation, Strategy']","['Single-player', 'Steam Achievements', 'Steam Cloud']",intiny,intiny,4.93,2023-10-18,31700.0
eFootball™ 2024,Mixed,"['Simulation, Sports, Free to Play']","['Single-player', 'Online PvP', 'Shared/Split Screen PvP', 'Online Co-op', 'Shared/Split Screen Co-op', 'In-App Purchases']",KONAMI,KONAMI,0.0,2021-09-30,69134.0
World of Warships,Mostly Positive,"['Action, Massively Multiplayer, Simulation, Free to Play']","['MMO', 'Online PvP', 'Online Co-op', 'Steam Achievements', 'Steam Trading Cards', 'In-App Purchases', 'Steam Cloud']",Wargaming Group Limited,Wargaming Group Limited,0.0,2017-11-15,136065.0
Thronefall,Overwhelmingly Positive,"['Action, Indie, Strategy, Early Access']","['Single-player', 'Steam Achievements', 'Steam Cloud', 'Steam Leaderboards']",GrizzlyGames,GrizzlyGames,2.99,2023-08-02,10179.0
Ori and the Will of the Wisps,Overwhelmingly Positive,['Action'],"['Single-player', 'Steam Achievements', 'Steam Cloud', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'HDR available']",Moon Studios GmbH,Xbox Game Studios,9.89,2020-03-11,113732.0
FINAL FANTASY XIV Online,Very Positive,"['Massively Multiplayer, RPG']","['Single-player', 'MMO', 'Online PvP', 'Online Co-op', 'Cross-Platform Multiplayer', 'Remote Play on Tablet']",Square Enix,Square Enix,15.99,2014-02-18,65473.0
Halo Infinite,Mostly Positive,"['Action, Free to Play']","['Online PvP', 'LAN PvP', 'Cross-Platform Multiplayer', 'Steam Achievements', 'In-App Purchases', 'Steam Cloud', 'Includes level editor', 'Remote Play on TV']",343 Industries,Xbox Game Studios,0.0,2021-11-15,167695.0
Halo: The Master Chief Collection,Very Positive,['Action'],"['Single-player', 'Online PvP', 'LAN PvP', 'Online Co-op', 'LAN Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV']",343 Industries,Xbox Game Studios,9.99,2019-12-03,200151.0
Team Fortress 2,Very Positive,"['Action, Free to Play']","['Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'Captions available', 'Steam Workshop', 'In-App Purchases', 'Valve Anti-Cheat enabled', 'Stats', 'Includes level editor', 'Commentary available', 'Remote Play on Phone', 'Remote Play on Tablet']",Valve,Valve,0.0,2007-10-10,1026828.0
Magic: The Gathering Arena,Mixed,"['Strategy, Free to Play']","['Online PvP', 'Cross-Platform Multiplayer', 'In-App Purchases']",Wizards of the Coast LLC,Wizards of the Coast LLC,0.0,2023-05-23,7997.0
The Sims™ 4,Very Positive,"['Adventure, Casual, Simulation, Free to Play']","['Single-player', 'Steam Trading Cards', 'Remote Play on Tablet']",Maxis,Electronic Arts,0.0,2014-09-02,126452.0
Forza Horizon 5,Very Positive,"['Action, Adventure, Racing, Simulation, Sports']","['Single-player', 'Online PvP', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud', 'HDR available']",Playground Games,Xbox Game Studios,32.78,2021-11-09,148932.0
DJMAX RESPECT V,Very Positive,"['Action, Casual, Sports']","['Single-player', 'Online PvP', 'Steam Achievements', 'Steam Trading Cards', 'In-App Purchases', 'Remote Play on Phone', 'Remote Play on Tablet']",NEOWIZ,NEOWIZ,9.99,2020-03-12,21241.0
Fallout 76,Mostly Positive,['RPG'],"['MMO', 'Online PvP', 'Online Co-op', 'Steam Achievements', 'In-App Purchases', 'Remote Play on Tablet']",Bethesda Game Studios,Bethesda Softworks,5.99,2020-04-14,50247.0
STAR WARS™: The Old Republic™,Very Positive,"['Massively Multiplayer, RPG, Free to Play']","['MMO', 'Steam Achievements', 'Steam Trading Cards', 'In-App Purchases']",Broadsword,Electronic Arts,0.0,2011-12-20,58228.0
Football Manager 2024,Very Positive,"['Simulation, Sports, Strategy']","['Single-player', 'Steam Achievements', 'Steam Cloud']",Sports Interactive,SEGA,39.99,2023-11-06,4998.0
DRAGON QUEST® XI S: Echoes of an Elusive Age™ - Definitive Edition,Very Positive,"['Adventure, RPG']","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on Tablet']",Square Enix,Square Enix,19.19,2020-12-04,6723.0
Last Train Home,Very Positive,['Strategy'],"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']",Ashborne Games,THQ Nordic,12.53,2023-11-28,1966.0
Fallout 4,Very Positive,['RPG'],"['Single-player', 'Steam Achievements', 'Steam Cloud', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV']",Bethesda Game Studios,Bethesda Softworks,3.95,2015-11-10,213654.0
Red Dead Redemption 2,Very Positive,"['Action, Adventure']","['Single-player', 'Online PvP', 'Online Co-op', 'Steam Achievements', 'In-App Purchases', 'Remote Play on Phone', 'Remote Play on Tablet']",Rockstar Games,Rockstar Games,59.99,2019-12-05,487501.0
Hearts of Iron IV,Very Positive,"['Simulation, Strategy']","['Single-player', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Remote Play on Tablet']",Paradox Development Studio,Paradox Interactive,23.99,2016-06-06,194799.0
World of Tanks Blitz,Very Positive,"['Action, Massively Multiplayer, Free to Play']","['MMO', 'Online PvP', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Trading Cards', 'In-App Purchases']",Wargaming Group Limited,Wargaming Group Limited,0.0,2016-11-09,136768.0
Farming Simulator 22,Very Positive,['Simulation'],"['Single-player', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on TV']",Giants Software,Giants Software,9.99,2021-11-22,46654.0
Escape the Backrooms,Very Positive,"['Indie, Early Access']","['Single-player', 'Online Co-op', 'Steam Achievements', 'Tracked Controller Support', 'Steam Cloud']",Fancy Games,Fancy Games,5.79,2022-08-11,47315.0
Rise of the Tomb Raider™,Very Positive,"['Action, Adventure']","['Single-player', 'Steam Achievements', 'Tracked Controller Support', 'VR Supported', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV']",Crystal Dynamics,Crystal Dynamics,2.99,2016-02-09,99179.0
BeamNG.drive,Overwhelmingly Positive,"['Racing, Simulation, Early Access']","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud', 'Includes level editor', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play Together']",BeamNG,BeamNG,12.49,2015-05-29,209015.0
Hunt: Showdown,Very Positive,['Action'],"['Online PvP', 'Online Co-op', 'Steam Achievements', 'Steam Trading Cards', 'In-App Purchases', 'Steam Leaderboards', 'Remote Play on Tablet', 'Remote Play on TV']",Crytek,Crytek,18.99,2019-08-27,150577.0
