Name,Genre,Price,Review
Palworld,Action,14.99,Very Positive
Palworld,Adventure,14.99,Very Positive
Palworld,Indie,14.99,Very Positive
Palworld,RPG,14.99,Very Positive
Palworld,Early Access,14.99,Very Positive
Counter-Strike 2,Action,0.0,Very Positive
Counter-Strike 2,Free to Play,0.0,Very Positive
Ready or Not,Action,21.74,Very Positive
Ready or Not,Adventure,21.74,Very Positive
Ready or Not,Indie,21.74,Very Positive
NARAKA: BLADEPOINT,Action,0.0,Mostly Positive
NARAKA: BLADEPOINT,Adventure,0.0,Mostly Positive
NARAKA: BLADEPOINT,Massively Multiplayer,0.0,Mostly Positive
Lethal Company,Action,5.79,Overwhelmingly Positive
Lethal Company,Adventure,5.79,Overwhelmingly Positive
Lethal Company,Indie,5.79,Overwhelmingly Positive
Lethal Company,Early Access,5.79,Overwhelmingly Positive
Grand Theft Auto V,Action,19.8,Very Positive
Grand Theft Auto V,Adventure,19.8,Very Positive
Dota 2,Action,0.0,Very Positive
Dota 2,Strategy,0.0,Very Positive
Dota 2,Free to Play,0.0,Very Positive
Love Is All Around,Adventure,4.93,Very Positive
Love Is All Around,Indie,4.93,Very Positive
Love Is All Around,RPG,4.93,Very Positive
Love Is All Around,Simulation,4.93,Very Positive
Love Is All Around,Strategy,4.93,Very Positive
eFootball™ 2024,Simulation,0.0,Mixed
eFootball™ 2024,Sports,0.0,Mixed
eFootball™ 2024,Free to Play,0.0,Mixed
World of Warships,Action,0.0,Mostly Positive
World of Warships,Massively Multiplayer,0.0,Mostly Positive
World of Warships,Simulation,0.0,Mostly Positive
World of Warships,Free to Play,0.0,Mostly Positive
Thronefall,Action,2.99,Overwhelmingly Positive
Thronefall,Indie,2.99,Overwhelmingly Positive
Thronefall,Strategy,2.99,Overwhelmingly Positive
Thronefall,Early Access,2.99,Overwhelmingly Positive
Ori and the Will of the Wisps,Action,9.89,Overwhelmingly Positive
FINAL FANTASY XIV Online,Massively Multiplayer,15.99,Very Positive
FINAL FANTASY XIV Online,RPG,15.99,Very Positive
Halo Infinite,Action,0.0,Mostly Positive
Halo Infinite,Free to Play,0.0,Mostly Positive
Halo: The Master Chief Collection,Action,9.99,Very Positive
Team Fortress 2,Action,0.0,Very Positive
Team Fortress 2,Free to Play,0.0,Very Positive
Magic: The Gathering Arena,Strategy,0.0,Mixed
Magic: The Gathering Arena,Free to Play,0.0,Mixed
The Sims™ 4,Adventure,0.0,Very Positive
The Sims™ 4,Casual,0.0,Very Positive
The Sims™ 4,Simulation,0.0,Very Positive
The Sims™ 4,Free to Play,0.0,Very Positive
Forza Horizon 5,Action,32.78,Very Positive
Forza Horizon 5,Adventure,32.78,Very Positive
Forza Horizon 5,Racing,32.78,Very Positive
Forza Horizon 5,Simulation,32.78,Very Positive
Forza Horizon 5,Sports,32.78,Very Positive
DJMAX RESPECT V,Action,9.99,Very Positive
DJMAX RESPECT V,Casual,9.99,Very Positive
DJMAX RESPECT V,Sports,9.99,Very Positive
Fallout 76,RPG,5.99,Mostly Positive
STAR WARS™: The Old Republic™,Massively Multiplayer,0.0,Very Positive
STAR WARS™: The Old Republic™,RPG,0.0,Very Positive
STAR WARS™: The Old Republic™,Free to Play,0.0,Very Positive
Football Manager 2024,Simulation,39.99,Very Positive
Football Manager 2024,Sports,39.99,Very Positive
Football Manager 2024,Strategy,39.99,Very Positive
DRAGON QUEST® XI S: Echoes of an Elusive Age™ - Definitive Edition,Adventure,19.19,Very Positive
DRAGON QUEST® XI S: Echoes of an Elusive Age™ - Definitive Edition,RPG,19.19,Very Positive
Last Train Home,Strategy,12.53,Very Positive
Fallout 4,RPG,3.95,Very Positive
Red Dead Redemption 2,Action,59.99,Very Positive
Red Dead Redemption 2,Adventure,59.99,Very Positive
Hearts of Iron IV,Simulation,23.99,Very Positive
Hearts of Iron IV,Strategy,23.99,Very Positive
World of Tanks Blitz,Action,0.0,Very Positive
World of Tanks Blitz,Massively Multiplayer,0.0,Very Positive
World of Tanks Blitz,Free to Play,0.0,Very Positive
Farming Simulator 22,Simulation,9.99,Very Positive
Escape the Backrooms,Indie,5.79,Very Positive
Escape the Backrooms,Early Access,5.79,Very Positive
Rise of the Tomb Raider™,Action,2.99,Very Positive
Rise of the Tomb Raider™,Adventure,2.99,Very Positive
BeamNG.drive,Racing,12.49,Overwhelmingly Positive
BeamNG.drive,Simulation,12.49,Overwhelmingly Positive
BeamNG.drive,Early Access,12.49,Overwhelmingly Positive
Hunt: Showdown,Action,18.99,Very Positive
New World,Action,39.99,Mostly Positive
New World,Adventure,39.99,Mostly Positive
New World,Massively Multiplayer,39.99,Mostly Positive
New World,RPG,39.99,Mostly Positive
Path of Exile,Action,0.0,Very Positive
Path of Exile,Adventure,0.0,Very Positive
Path of Exile,Indie,0.0,Very Positive
Path of Exile,Massively Multiplayer,0.0,Very Positive
Path of Exile,RPG,0.0,Very Positive
Path of Exile,Free to Play,0.0,Very Positive
Shadow of the Tomb Raider: Definitive Edition,Action,4.95,Very Positive
Shadow of the Tomb Raider: Definitive Edition,Adventure,4.95,Very Positive
Raft,Adventure,19.99,Very Positive
Raft,Indie,19.99,Very Positive
Raft,Simulation,19.99,Very Positive
NBA 2K24,Simulation,59.99,Mostly Negative
NBA 2K24,Sports,59.99,Mostly Negative
Stellaris,Simulation,23.99,Very Positive
Stellaris,Strategy,23.99,Very Positive
GrandChase,Action,0.0,Mixed
GrandChase,Casual,0.0,Mixed
GrandChase,Free to Play,0.0,Mixed
Age of Empires IV: Anniversary Edition,Strategy,39.99,Very Positive
Overwatch® 2,Action,0.0,Overwhelmingly Negative
Overwatch® 2,Free to Play,0.0,Overwhelmingly Negative
Zombie Army 4: Dead War,Action,7.49,Very Positive
Crusader Kings III,RPG,29.99,Very Positive
Crusader Kings III,Simulation,29.99,Very Positive
Crusader Kings III,Strategy,29.99,Very Positive
SnowRunner,Adventure,20.99,Very Positive
SnowRunner,Simulation,20.99,Very Positive
MARVEL SNAP,Casual,0.0,Very Positive
MARVEL SNAP,Strategy,0.0,Very Positive
MARVEL SNAP,Free to Play,0.0,Very Positive
Squad,Action,22.99,Very Positive
Squad,Indie,22.99,Very Positive
Squad,Massively Multiplayer,22.99,Very Positive
Squad,Strategy,22.99,Very Positive
FINAL FANTASY X/X-2 HD Remaster,RPG,9.59,Very Positive
FOR HONOR™,Action,11.99,Mixed
Sid Meier’s Civilization® VI,Strategy,59.99,Very Positive
Mount & Blade II: Bannerlord,Action,19.99,Very Positive
Mount & Blade II: Bannerlord,Indie,19.99,Very Positive
Mount & Blade II: Bannerlord,RPG,19.99,Very Positive
Mount & Blade II: Bannerlord,Simulation,19.99,Very Positive
Mount & Blade II: Bannerlord,Strategy,19.99,Very Positive
Call of Duty®: Black Ops III,Action,59.99,Very Positive
Call of Duty®: Black Ops III,Adventure,59.99,Very Positive
Summoners War: Chronicles,Action,0.0,Mostly Positive
Summoners War: Chronicles,Adventure,0.0,Mostly Positive
