Name,Tags,Price,Review
Palworld,Single-player,14.99,Very Positive
Palworld,Online Co-op,14.99,Very Positive
Palworld,Steam Achievements,14.99,Very Positive
Palworld,Steam Cloud,14.99,Very Positive
Counter-Strike 2,Cross-Platform Multiplayer,0.0,Very Positive
Counter-Strike 2,Steam Trading Cards,0.0,Very Positive
Counter-Strike 2,Steam Workshop,0.0,Very Positive
Counter-Strike 2,In-App Purchases,0.0,Very Positive
Counter-Strike 2,Valve Anti-Cheat enabled,0.0,Very Positive
Counter-Strike 2,Stats,0.0,Very Positive
Counter-Strike 2,Remote Play on Phone,0.0,Very Positive
Counter-Strike 2,Remote Play on Tablet,0.0,Very Positive
Counter-Strike 2,Remote Play on TV,0.0,Very Positive
Ready or Not,Single-player,21.74,Very Positive
Ready or Not,Online Co-op,21.74,Very Positive
Ready or Not,Steam Cloud,21.74,Very Positive
NARAKA: BLADEPOINT,Online PvP,0.0,Mostly Positive
NARAKA: BLADEPOINT,In-App Purchases,0.0,Mostly Positive
Lethal Company,Single-player,5.79,Overwhelmingly Positive
Lethal Company,Online Co-op,5.79,Overwhelmingly Positive
Grand Theft Auto V,Single-player,19.8,Very Positive
Grand Theft Auto V,Online PvP,19.8,Very Positive
Grand Theft Auto V,Online Co-op,19.8,Very Positive
Grand Theft Auto V,Steam Achievements,19.8,Very Positive
Grand Theft Auto V,Remote Play on Phone,19.8,Very Positive
Grand Theft Auto V,Remote Play on Tablet,19.8,Very Positive
Grand Theft Auto V,Remote Play on TV,19.8,Very Positive
Dota 2,Steam Trading Cards,0.0,Very Positive
Dota 2,Steam Workshop,0.0,Very Positive
Dota 2,SteamVR Collectibles,0.0,Very Positive
Dota 2,In-App Purchases,0.0,Very Positive
Dota 2,Valve Anti-Cheat enabled,0.0,Very Positive
Love Is All Around,Single-player,4.93,Very Positive
Love Is All Around,Steam Achievements,4.93,Very Positive
Love Is All Around,Steam Cloud,4.93,Very Positive
eFootball™ 2024,Single-player,0.0,Mixed
eFootball™ 2024,Online PvP,0.0,Mixed
eFootball™ 2024,Shared/Split Screen PvP,0.0,Mixed
eFootball™ 2024,Online Co-op,0.0,Mixed
eFootball™ 2024,Shared/Split Screen Co-op,0.0,Mixed
eFootball™ 2024,In-App Purchases,0.0,Mixed
World of Warships,MMO,0.0,Mostly Positive
World of Warships,Online PvP,0.0,Mostly Positive
World of Warships,Online Co-op,0.0,Mostly Positive
World of Warships,Steam Achievements,0.0,Mostly Positive
World of Warships,Steam Trading Cards,0.0,Mostly Positive
World of Warships,In-App Purchases,0.0,Mostly Positive
