Unnamed: 0,title,artist,top_genre,year,added,bpm,nrgy,dB,live,val,dur,acous,spch,pop
0,YUM YUM - Slowed,LXNGVX,funk carioca,2023,2024‑02‑02,109,79,-2,13,19,154,26,12,74
1,YUM YUM - Sped Up,LXNGVX,funk carioca,2023,2024‑02‑02,164,95,-1,22,49,103,22,39,66
2,DRONE,Fighter Masr,,2023,2024‑02‑02,90,60,-7,9,32,173,7,13,23
3,Machkalni Hobak,Dareen,egyptian hip hop,2023,2024‑02‑02,90,39,-12,33,55,160,34,38,22
4,Catalina,Perrie,egyptian hip hop,2023,2024‑02‑02,97,64,-9,21,13,135,71,6,22
5,Awel Nazra,Abuhagarjr,,2023,2024‑02‑02,105,51,-10,11,28,220,39,17,22
6,Meen (feat. Rafiek),Moscow,egyptian hip hop,2024,2024‑02‑02,162,53,-11,35,30,166,15,11,0
7,Lessa,Papa Guede,,2023,2024‑02‑02,135,24,-14,31,6,213,79,4,17
8,System,TIBA,,2023,2024‑02‑02,140,66,-8,9,38,196,35,19,17
9,De Bruyne,Dzel Uzi,egyptian hip hop,2023,2024‑02‑02,105,55,-8,6,89,149,25,38,38
10,Haaland,Dzel Uzi,egyptian hip hop,2023,2024‑02‑02,140,91,-3,7,67,232,20,30,35
11,Hatege Alia Sana,Dzel Uzi,egyptian hip hop,2024,2024‑02‑02,100,64,-6,11,62,154,56,27,0
12,Batal El Mashhad,Moxxd,,2023,2024‑02‑02,120,45,-7,23,27,184,32,7,26
13,Star W Mayhemosh (Freedom Music),Afroto,egyptian hip hop,2023,2024‑02‑02,75,61,-5,57,32,181,12,31,33
14,Howa Enta Ahbal?,Abo El Anwar,egyptian hip hop,2024,2024‑02‑02,103,70,-5,9,97,149,61,34,44
15,SARINA,AbdulAal,,2023,2024‑02‑02,115,65,-6,13,46,205,7,3,19
16,EL RAYES,Begad,egyptian viral pop,2023,2024‑02‑02,119,56,-7,12,60,144,7,22,33
17,CRISTIANO,Begad,egyptian viral pop,2023,2024‑02‑02,100,62,-7,10,70,146,55,29,33
18,Ghanima,Fighter Masr,,2023,2024‑02‑02,100,75,-8,14,23,154,51,6,20
19,MSH HANAM,$AVAGE,,2024,2024‑02‑02,123,70,-5,8,7,184,16,3,30
20,Toosie,Uglymoss,,2023,2024‑02‑02,120,81,-7,23,71,164,35,8,20
21,Ta2reban,Lege-Cy,egyptian hip hop,2023,2024‑02‑02,95,85,-4,20,79,209,53,17,46
22,Escobar,L5VAV,egyptian hip hop,2023,2024‑02‑02,111,65,-9,23,37,186,44,23,42
23,Enty Fein,Sine,,2023,2024‑02‑02,100,47,-8,8,53,149,45,4,22
24,Ana We Akhoya,L5VAV,egyptian hip hop,2023,2024‑02‑02,95,57,-8,9,22,161,66,5,28
25,FOR2O3 LOOZ,Shahyn,egyptian hip hop,2023,2024‑02‑02,103,65,-11,15,93,154,5,17,41
26,اوتوماتيك,Xiety,egyptian hip hop,2023,2024‑02‑02,134,63,-9,13,48,148,5,18,20
27,mesh 3aref a3mel eh,Mosalem,egyptian trap,2024,2024‑02‑02,98,42,-5,18,9,126,19,4,35
28,EL SARA7A,Uglymoss,,2023,2024‑02‑02,144,92,-5,8,58,143,36,12,36
29,Lang,Arsenik,egyptian hip hop,2024,2024‑02‑02,147,64,-5,12,77,146,41,31,45
30,kawabes,Dareen,egyptian hip hop,2023,2024‑02‑02,145,49,-10,23,9,163,6,6,34
31,Zero F,Lege-Cy,egyptian hip hop,2024,2024‑02‑02,130,80,-3,11,66,200,44,30,45
32,Fe Albk Eh,Moxxd,,2023,2024‑02‑02,95,57,-12,11,65,204,47,5,17
33,Kda Msh Bees,Mared,,2023,2024‑02‑02,120,92,-7,30,93,156,32,8,27
34,DDDD,Marwan Pablo,egyptian hip hop,2023,2024‑02‑02,145,64,-8,11,7,136,12,6,57
35,Gen,Salah Tayr,egyptian viral pop,2023,2024‑02‑02,110,69,-8,25,45,158,16,4,46
36,عكسهم,Almas,egyptian trap,2023,2024‑02‑02,134,83,-4,13,28,199,4,4,33
37,El Hal,Mazyn,,2023,2024‑02‑02,93,79,-5,18,79,148,6,24,22
38,ZEKRAYAT,HADY MOAMER,,2023,2024‑02‑02,167,75,-10,28,74,163,9,8,24
39,3al Hady,Wezza,egyptian hip hop,2023,2024‑02‑02,135,70,-10,32,90,131,15,11,17
