,title,artist,top_genre,year,added,bpm,nrgy,dB,live,val,dur,acous,spch,pop
0,greedy,Tate McRae,alt z,2023,2024‑02‑02,111,73,-3,11,84,132,26,3,100
1,Cruel Summer,Taylor Swift,pop,2019,2024‑02‑02,170,70,-6,11,56,178,12,16,99
2,"One Of The Girls (with JENNIE, Lily Rose Depp)",The Weeknd,canadian contemporary r&b,2023,2024‑02‑02,88,64,-6,16,20,245,5,3,98
3,"yes, and?",Ariana Grande,pop,2024,2024‑02‑02,119,76,-7,10,82,215,20,5,97
4,Popular (with Playboi Carti & Madonna) - From The Idol Vol. 1 (Music from the HBO Original Series),The Weeknd,canadian contemporary r&b,2023,2024‑02‑02,99,68,-6,41,85,215,6,19,96
5,vampire,Olivia Rodrigo,pop,2023,2024‑02‑02,138,53,-6,29,35,220,18,6,95
6,As It Was,Harry Styles,pop,2022,2024‑02‑02,174,73,-5,31,66,167,34,6,95
7,"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,art pop,2023,2024‑02‑02,78,9,-18,10,14,222,96,3,95
8,Starboy,The Weeknd,canadian contemporary r&b,2016,2024‑02‑02,186,59,-7,14,49,230,14,28,95
9,BELLAKEO,Peso Pluma,corridos tumbados,2023,2024‑02‑02,180,88,-3,15,46,197,6,10,95
10,Flowers,Miley Cyrus,pop,2023,2024‑02‑02,118,69,-5,2,63,201,6,6,94
11,HARLEY QUINN,Fuerza Regida,corrido,2023,2024‑02‑02,125,74,-6,22,59,143,3,6,94
12,Houdini,Dua Lipa,dance pop,2023,2024‑02‑02,117,79,-5,9,87,186,0,6,94
13,Blinding Lights,The Weeknd,canadian contemporary r&b,2020,2024‑02‑02,171,73,-6,9,33,200,0,6,93
14,Paint The Town Red,Doja Cat,dance pop,2023,2024‑02‑02,100,54,-9,9,73,232,27,17,93
15,Dance The Night - From Barbie The Album,Dua Lipa,dance pop,2023,2024‑02‑02,110,85,-5,33,78,177,2,5,93
16,Yellow,Coldplay,permanent wave,2000,2024‑02‑02,173,66,-7,23,28,267,0,3,93
17,Rich Baby Daddy (feat. Sexyy Red & SZA),Drake,canadian hip hop,2023,2024‑02‑02,146,73,-5,38,14,319,4,5,93
18,Feather,Sabrina Carpenter,pop,2023,2024‑02‑02,124,69,-4,9,84,186,9,3,93
19,I'm Good (Blue),David Guetta,big room,2022,2024‑02‑02,128,97,-4,37,30,175,0,3,92
20,Creepin' (with The Weeknd & 21 Savage),Metro Boomin,rap,2022,2024‑02‑02,98,62,-6,8,17,222,42,5,92
21,Is It Over Now? (Taylor's Version) (From The Vault),Taylor Swift,pop,2023,2024‑02‑02,100,66,-7,13,18,229,5,4,92
22,I Ain't Worried,OneRepublic,piano rock,2022,2024‑02‑02,140,80,-6,5,83,148,8,5,92
23,Anti-Hero,Taylor Swift,pop,2022,2024‑02‑02,97,64,-7,14,53,201,13,5,92
24,Kill Bill,SZA,pop,2022,2024‑02‑02,89,74,-6,16,42,154,5,4,91
25,Save Your Tears,The Weeknd,canadian contemporary r&b,2020,2024‑02‑02,118,83,-5,54,64,216,2,3,91
26,When I Was Your Man,Bruno Mars,dance pop,2012,2024‑02‑02,73,28,-9,9,39,214,93,4,91
27,Someone You Loved,Lewis Capaldi,pop,2019,2024‑02‑02,110,41,-6,11,45,182,75,3,91
28,lovely (with Khalid),Billie Eilish,art pop,2018,2024‑02‑02,115,30,-10,10,12,200,93,3,91
29,Die For You,The Weeknd,canadian contemporary r&b,2016,2024‑02‑02,134,53,-7,13,51,260,11,6,91
30,Calm Down (with Selena Gomez),Rema,afrobeats,2022,2024‑02‑02,107,81,-5,11,80,239,38,4,90
31,Nonsense,Sabrina Carpenter,pop,2022,2024‑02‑02,139,70,-5,22,73,164,3,3,90
32,Counting Stars,OneRepublic,piano rock,2013,2024‑02‑02,122,71,-5,12,48,257,7,4,90
33,Dandelions,Ruth B.,alt z,2017,2024‑02‑02,117,69,-3,9,45,234,2,3,90
34,Perfect,Ed Sheeran,pop,2017,2024‑02‑02,95,45,-6,11,17,263,16,2,90
35,Believer,Imagine Dragons,modern rock,2017,2024‑02‑02,125,78,-4,8,67,204,6,13,90
36,Unwritten,Natasha Bedingfield,dance pop,2004,2024‑02‑02,100,80,-6,8,63,259,1,4,90
37,Stargirl Interlude,The Weeknd,canadian contemporary r&b,2016,2024‑02‑02,90,47,-13,10,43,112,35,8,89
38,Love The Way You Lie,Eminem,detroit hip hop,2010,2024‑02‑02,87,93,-5,52,64,263,24,23,89
39,Circles,Post Malone,dfw rap,2019,2024‑02‑02,120,76,-3,9,55,215,19,4,89
40,Thunder,Imagine Dragons,modern rock,2017,2024‑02‑02,168,82,-5,15,29,187,1,4,89
41,That's What I Like,Bruno Mars,dance pop,2016,2024‑02‑02,134,56,-5,9,86,207,1,4,89
42,Say You Won't Let Go,James Arthur,pop,2016,2024‑02‑02,85,56,-7,9,49,211,70,6,89
43,Call Out My Name,The Weeknd,canadian contemporary r&b,2018,2024‑02‑02,134,59,-5,31,18,228,17,4,89
44,Something Just Like This,The Chainsmokers,pop,2017,2024‑02‑02,103,64,-7,16,45,247,5,3,89
45,There's Nothing Holdin' Me Back,Shawn Mendes,canadian pop,2017,2024‑02‑02,122,81,-4,8,97,199,38,6,89
46,Night Changes,One Direction,boy band,2014,2024‑02‑02,120,52,-8,12,37,227,86,4,89
47,Watermelon Sugar,Harry Styles,pop,2019,2024‑02‑02,95,82,-4,34,56,174,12,5,89
48,Shape of You,Ed Sheeran,pop,2017,2024‑02‑02,96,65,-3,9,93,234,58,8,89
49,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,dfw rap,2019,2024‑02‑02,90,52,-4,7,93,158,53,6,88
50,All The Stars (with SZA),Kendrick Lamar,conscious hip hop,2018,2024‑02‑02,97,63,-5,9,55,232,6,6,88
51,Reminder,The Weeknd,canadian contemporary r&b,2016,2024‑02‑02,160,51,-7,16,39,219,14,19,88
52,Softcore,The Neighbourhood,modern alternative rock,2018,2024‑02‑02,94,57,-6,29,37,206,5,3,88
53,Baby Don't Hurt Me,David Guetta,big room,2023,2024‑02‑02,128,91,-3,12,23,140,0,3,88
54,"""Slut!"" (Taylor's Version) (From The Vault)",Taylor Swift,pop,2023,2024‑02‑02,78,41,-13,6,31,180,35,6,88
