Name,Review,Number Of Reviews,Genre,Tags,Dev_Info,Developer,Publisher,Release_Date,link,Price
Beasts of Bermuda,Mostly Positive,(76),"['Adventure, Indie, Massively Multiplayer, Simulation, Early Access']",['Online PvP'],"['Adventure, Indie, Massively Multiplayer, Simulation, Early Access']","Sastrei Studios, LLC","Sastrei Studios, LLC","21 Dec, 2018",https://store.steampowered.com/app/719890/Beasts_of_Bermuda/?snr=1_7_7_7000_150_17,$19.99
MADNESS: Project Nexus,Overwhelmingly Positive,(174),"['Action, Indie']","['Single-player', 'Shared/Split Screen Co-op', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play Together']","['Action, Indie']","GIBBING TREE, LLC","GIBBING TREE, LLC","30 Sep, 2021",https://store.steampowered.com/app/488860/MADNESS_Project_Nexus/?snr=1_7_7_7000_150_17,$24.99
Just Go,Very Positive,(44),"['Casual, Indie, Simulation, Strategy']","['Single-player', 'Online PvP', 'Shared/Split Screen PvP', 'Shared/Split Screen Co-op', 'Steam Achievements', 'Steam Cloud', 'Stats', 'Steam Leaderboards', 'Remote Play Together']","['Casual, Indie, Simulation, Strategy']",Studio Amateur,Studio Amateur,"10 Aug, 2022",https://store.steampowered.com/app/1862520/Just_Go/?snr=1_7_7_7000_150_17,$9.99
Is It Wrong to Repay the Debt in a Dungeon?,Mostly Positive,(89),"['Adventure, RPG']",['Single-player'],"['Adventure, RPG']",Atelier Wanko,OTAKU Plan,"15 Apr, 2023",https://store.steampowered.com/app/2114350/Is_It_Wrong_to_Repay_the_Debt_in_a_Dungeon/?snr=1_7_7_7000_150_17,$4.64
Drug Dealer Simulator,Very Positive,(412),"['Action, Adventure, Indie, Simulation']",['Single-player'],"['Action, Adventure, Indie, Simulation']",Byterunners,Movie Games S.A.,"16 Apr, 2020",https://store.steampowered.com/app/682990/Drug_Dealer_Simulator/?snr=1_7_7_7000_150_17,$19.99
Regiments,Mostly Positive,(33),"['Indie, Simulation, Strategy']","['Single-player', 'Steam Cloud']","['Indie, Simulation, Strategy']",Bird's Eye Games,MicroProse Software,"16 Aug, 2022",https://store.steampowered.com/app/1109680/Regiments/?snr=1_7_7_7000_150_17,$14.99
AO Tennis 2,Very Positive,(13),['Sports'],"['Single-player', 'Online PvP', 'Shared/Split Screen PvP', 'Online Co-op', 'Shared/Split Screen Co-op', 'Steam Achievements', 'Steam Cloud', 'Steam Leaderboards', 'Remote Play Together']",['Sports'],Big Ant Studios,Nacon,"9 Jan, 2020",https://store.steampowered.com/app/1072500/AO_Tennis_2/?snr=1_7_7_7000_150_17,$24.99
Paragon: The Overprime,Mixed,(414),"['Action, Sports, Strategy, Free to Play, Early Access']","['Single-player', 'Online PvP', 'Online Co-op', 'Steam Achievements', 'In-App Purchases', 'Stats']","['Action, Sports, Strategy, Free to Play, Early Access']",Netmarble F&C Team SoulEve,Netmarble,"6 Dec, 2022",https://store.steampowered.com/app/1531430/Paragon_The_Overprime/?snr=1_7_7_7000_150_17,Free
F.E.A.R. 2: Project Origin,Mostly Positive,(51),['Action'],['Single-player'],['Action'],Monolith,Warner Bros. Games,"12 Feb, 2009",https://store.steampowered.com/app/16450/FEAR_2_Project_Origin/?snr=1_7_7_7000_150_17,$14.99
Rusty Lake Paradise,Very Positive,(88),"['Adventure, Indie']","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']","['Adventure, Indie']",Rusty Lake,Rusty Lake,"11 Jan, 2018",https://store.steampowered.com/app/744190/Rusty_Lake_Paradise/?snr=1_7_7_7000_150_17,$3.99
